,index,count,county,state_name_x,StateFips,State,state_name_y,county_code
0,0,1887,001 Autauga,Alabama,1,AL,Alabama,1001
1,1,8628,003 Baldwin,Alabama,1,AL,Alabama,1003
2,2,1820,005 Barbour,Alabama,1,AL,Alabama,1005
3,3,1777,007 Bibb,Alabama,1,AL,Alabama,1007
4,4,2750,009 Blount,Alabama,1,AL,Alabama,1009
5,5,820,011 Bullock,Alabama,1,AL,Alabama,1011
6,6,1654,013 Butler,Alabama,1,AL,Alabama,1013
7,7,6919,015 Calhoun,Alabama,1,AL,Alabama,1015
8,8,2184,017 Chambers,Alabama,1,AL,Alabama,1017
9,9,2497,019 Cherokee,Alabama,1,AL,Alabama,1019
10,10,2208,021 Chilton,Alabama,1,AL,Alabama,1021
11,11,1139,023 Choctaw,Alabama,1,AL,Alabama,1023
12,12,1884,025 Clarke,Alabama,1,AL,Alabama,1025
13,13,1588,027 Clay,Alabama,1,AL,Alabama,1027
14,14,1471,029 Cleburne,Alabama,1,AL,Alabama,1029
15,15,2321,031 Coffee,Alabama,1,AL,Alabama,1031
16,16,3799,033 Colbert,Alabama,1,AL,Alabama,1033
17,17,1444,035 Conecuh,Alabama,1,AL,Alabama,1035
18,18,1534,037 Coosa,Alabama,1,AL,Alabama,1037
19,19,3271,039 Covington,Alabama,1,AL,Alabama,1039
20,20,1124,041 Crenshaw,Alabama,1,AL,Alabama,1041
21,21,4363,043 Cullman,Alabama,1,AL,Alabama,1043
22,22,3033,045 Dale,Alabama,1,AL,Alabama,1045
23,23,3099,047 Dallas,Alabama,1,AL,Alabama,1047
24,24,4435,049 DeKalb,Alabama,1,AL,Alabama,1049
25,25,3680,051 Elmore,Alabama,1,AL,Alabama,1051
26,26,3382,053 Escambia,Alabama,1,AL,Alabama,1053
27,27,5044,055 Etowah,Alabama,1,AL,Alabama,1055
28,28,1731,057 Fayette,Alabama,1,AL,Alabama,1057
29,29,2556,059 Franklin,Alabama,1,AL,Alabama,1059
30,30,2417,061 Geneva,Alabama,1,AL,Alabama,1061
31,31,1363,063 Greene,Alabama,1,AL,Alabama,1063
32,32,1186,065 Hale,Alabama,1,AL,Alabama,1065
33,33,1445,067 Henry,Alabama,1,AL,Alabama,1067
34,34,4192,069 Houston,Alabama,1,AL,Alabama,1069
35,35,4476,071 Jackson,Alabama,1,AL,Alabama,1071
36,36,28737,073 Jefferson,Alabama,1,AL,Alabama,1073
37,37,1628,075 Lamar,Alabama,1,AL,Alabama,1075
38,38,4233,077 Lauderdale,Alabama,1,AL,Alabama,1077
39,39,2304,079 Lawrence,Alabama,1,AL,Alabama,1079
40,40,4059,081 Lee,Alabama,1,AL,Alabama,1081
41,41,3809,083 Limestone,Alabama,1,AL,Alabama,1083
42,42,1270,085 Lowndes,Alabama,1,AL,Alabama,1085
43,43,1901,087 Macon,Alabama,1,AL,Alabama,1087
44,44,15427,089 Madison,Alabama,1,AL,Alabama,1089
45,45,1898,091 Marengo,Alabama,1,AL,Alabama,1091
46,46,3344,093 Marion,Alabama,1,AL,Alabama,1093
47,47,4364,095 Marshall,Alabama,1,AL,Alabama,1095
48,48,19465,097 Mobile,Alabama,1,AL,Alabama,1097
49,49,1627,099 Monroe,Alabama,1,AL,Alabama,1099
50,50,5621,101 Montgomery,Alabama,1,AL,Alabama,1101
51,51,5025,103 Morgan,Alabama,1,AL,Alabama,1103
52,52,1064,105 Perry,Alabama,1,AL,Alabama,1105
53,53,1481,107 Pickens,Alabama,1,AL,Alabama,1107
54,54,1880,109 Pike,Alabama,1,AL,Alabama,1109
55,55,1992,111 Randolph,Alabama,1,AL,Alabama,1111
56,56,2158,113 Russell,Alabama,1,AL,Alabama,1113
57,57,3900,115 St. Clair,Alabama,1,AL,Alabama,1115
58,58,7945,117 Shelby,Alabama,1,AL,Alabama,1117
59,59,1223,119 Sumter,Alabama,1,AL,Alabama,1119
60,60,5316,121 Talladega,Alabama,1,AL,Alabama,1121
61,61,3208,123 Tallapoosa,Alabama,1,AL,Alabama,1123
62,62,9004,125 Tuscaloosa,Alabama,1,AL,Alabama,1125
63,63,4274,127 Walker,Alabama,1,AL,Alabama,1127
64,64,1818,129 Washington,Alabama,1,AL,Alabama,1129
65,65,1139,131 Wilcox,Alabama,1,AL,Alabama,1131
66,66,2031,133 Winston,Alabama,1,AL,Alabama,1133
67,0,1105,013 Aleutians East,Alaska,2,AK,Alaska,2013
68,1,1206,016 Aleutians West,Alaska,2,AK,Alaska,2016
69,2,4337,020 Anchorage Municipality,Alaska,2,AK,Alaska,2020
70,3,1710,050 Bethel,Alaska,2,AK,Alaska,2050
71,4,177,060 Bristol Bay,Alaska,2,AK,Alaska,2060
72,5,690,068 Denali,Alaska,2,AK,Alaska,2068
73,6,816,070 Dillingham,Alaska,2,AK,Alaska,2070
74,7,4499,090 Fairbanks North Star,Alaska,2,AK,Alaska,2090
75,8,758,100 Haines,Alaska,2,AK,Alaska,2100
76,9,873,105 Hoonah-Angoon,Alaska,2,AK,Alaska,2105
77,10,928,110 Juneau City and,Alaska,2,AK,Alaska,2110
78,11,4024,122 Kenai Peninsula,Alaska,2,AK,Alaska,2122
79,12,904,130 Ketchikan Gateway,Alaska,2,AK,Alaska,2130
80,13,1561,150 Kodiak Island,Alaska,2,AK,Alaska,2150
81,14,837,164 Lake and Peninsula,Alaska,2,AK,Alaska,2164
82,15,4590,170 Matanuska-Susitna,Alaska,2,AK,Alaska,2170
83,16,1471,180 Nome,Alaska,2,AK,Alaska,2180
84,17,1263,185 North Slope,Alaska,2,AK,Alaska,2185
85,18,793,188 Northwest Arctic,Alaska,2,AK,Alaska,2188
86,19,705,195 Petersburg,Alaska,2,AK,Alaska,2195
87,20,1614,198 Prince of Wales-Hyder,Alaska,2,AK,Alaska,2198
88,21,1325,220 Sitka City and,Alaska,2,AK,Alaska,2220
89,22,198,230 Skagway Municipality,Alaska,2,AK,Alaska,2230
90,23,1994,240 Southeast Fairbanks,Alaska,2,AK,Alaska,2240
91,24,2194,261 Valdez-Cordova,Alaska,2,AK,Alaska,2261
92,25,952,270 Wade Hampton,Alaska,2,AK,Alaska,2270
93,26,428,275 Wrangell City and,Alaska,2,AK,Alaska,2275
94,27,683,282 Yakutat City and,Alaska,2,AK,Alaska,2282
95,28,2657,290 Yukon-Koyukuk,Alaska,2,AK,Alaska,2290
96,0,398,010 Eastern District,American Samoa,60,AS,American Samoa,60010
97,1,69,020 Manu_a District,American Samoa,60,AS,American Samoa,60020
98,2,3,030 Rose Island,American Samoa,60,AS,American Samoa,60030
99,3,6,040 Swains Island,American Samoa,60,AS,American Samoa,60040
100,4,356,050 Western District,American Samoa,60,AS,American Samoa,60050
101,0,24145,001 Apache,Arizona,4,AZ,Arizona,4001
102,1,9139,003 Cochise,Arizona,4,AZ,Arizona,4003
103,2,20267,005 Coconino,Arizona,4,AZ,Arizona,4005
104,3,4979,007 Gila,Arizona,4,AZ,Arizona,4007
105,4,3988,009 Graham,Arizona,4,AZ,Arizona,4009
106,5,1394,011 Greenlee,Arizona,4,AZ,Arizona,4011
107,6,4795,012 La Paz,Arizona,4,AZ,Arizona,4012
108,7,72729,013 Maricopa,Arizona,4,AZ,Arizona,4013
109,8,15677,015 Mohave,Arizona,4,AZ,Arizona,4015
110,9,20804,017 Navajo,Arizona,4,AZ,Arizona,4017
111,10,19985,019 Pima,Arizona,4,AZ,Arizona,4019
112,11,19349,021 Pinal,Arizona,4,AZ,Arizona,4021
113,12,2678,023 Santa Cruz,Arizona,4,AZ,Arizona,4023
114,13,12462,025 Yavapai,Arizona,4,AZ,Arizona,4025
115,14,9275,027 Yuma,Arizona,4,AZ,Arizona,4027
116,0,2796,001 Arkansas,Arkansas,5,AR,Arkansas,5001
117,1,2046,003 Ashley,Arkansas,5,AR,Arkansas,5003
118,2,3064,005 Baxter,Arkansas,5,AR,Arkansas,5005
119,3,6976,007 Benton,Arkansas,5,AR,Arkansas,5007
120,4,2422,009 Boone,Arkansas,5,AR,Arkansas,5009
121,5,1017,011 Bradley,Arkansas,5,AR,Arkansas,5011
122,6,1356,013 Calhoun,Arkansas,5,AR,Arkansas,5013
123,7,2171,015 Carroll,Arkansas,5,AR,Arkansas,5015
124,8,1870,017 Chicot,Arkansas,5,AR,Arkansas,5017
125,9,2126,019 Clark,Arkansas,5,AR,Arkansas,5019
126,10,1951,021 Clay,Arkansas,5,AR,Arkansas,5021
127,11,1819,023 Cleburne,Arkansas,5,AR,Arkansas,5023
128,12,814,025 Cleveland,Arkansas,5,AR,Arkansas,5025
129,13,2374,027 Columbia,Arkansas,5,AR,Arkansas,5027
130,14,1824,029 Conway,Arkansas,5,AR,Arkansas,5029
131,15,3582,031 Craighead,Arkansas,5,AR,Arkansas,5031
132,16,2502,033 Crawford,Arkansas,5,AR,Arkansas,5033
133,17,2982,035 Crittenden,Arkansas,5,AR,Arkansas,5035
134,18,1606,037 Cross,Arkansas,5,AR,Arkansas,5037
135,19,1517,039 Dallas,Arkansas,5,AR,Arkansas,5039
136,20,1705,041 Desha,Arkansas,5,AR,Arkansas,5041
137,21,1834,043 Drew,Arkansas,5,AR,Arkansas,5043
138,22,3446,045 Faulkner,Arkansas,5,AR,Arkansas,5045
139,23,2157,047 Franklin,Arkansas,5,AR,Arkansas,5047
140,24,1947,049 Fulton,Arkansas,5,AR,Arkansas,5049
141,25,5428,051 Garland,Arkansas,5,AR,Arkansas,5051
142,26,1416,053 Grant,Arkansas,5,AR,Arkansas,5053
143,27,2260,055 Greene,Arkansas,5,AR,Arkansas,5055
144,28,2113,057 Hempstead,Arkansas,5,AR,Arkansas,5057
145,29,3031,059 Hot Spring,Arkansas,5,AR,Arkansas,5059
146,30,2224,061 Howard,Arkansas,5,AR,Arkansas,5061
147,31,2225,063 Independence,Arkansas,5,AR,Arkansas,5063
148,32,2588,065 Izard,Arkansas,5,AR,Arkansas,5065
149,33,2083,067 Jackson,Arkansas,5,AR,Arkansas,5067
150,34,5183,069 Jefferson,Arkansas,5,AR,Arkansas,5069
151,35,2258,071 Johnson,Arkansas,5,AR,Arkansas,5071
152,36,1444,073 Lafayette,Arkansas,5,AR,Arkansas,5073
153,37,2222,075 Lawrence,Arkansas,5,AR,Arkansas,5075
154,38,1203,077 Lee,Arkansas,5,AR,Arkansas,5077
155,39,1101,079 Lincoln,Arkansas,5,AR,Arkansas,5079
156,40,1523,081 Little River,Arkansas,5,AR,Arkansas,5081
157,41,1790,083 Logan,Arkansas,5,AR,Arkansas,5083
158,42,2876,085 Lonoke,Arkansas,5,AR,Arkansas,5085
159,43,1538,087 Madison,Arkansas,5,AR,Arkansas,5087
160,44,1896,089 Marion,Arkansas,5,AR,Arkansas,5089
161,45,2320,091 Miller,Arkansas,5,AR,Arkansas,5091
162,46,3405,093 Mississippi,Arkansas,5,AR,Arkansas,5093
163,47,1452,095 Monroe,Arkansas,5,AR,Arkansas,5095
164,48,1790,097 Montgomery,Arkansas,5,AR,Arkansas,5097
165,49,1195,099 Nevada,Arkansas,5,AR,Arkansas,5099
166,50,1402,101 Newton,Arkansas,5,AR,Arkansas,5101
167,51,2682,103 Ouachita,Arkansas,5,AR,Arkansas,5103
168,52,1378,105 Perry,Arkansas,5,AR,Arkansas,5105
169,53,1972,107 Phillips,Arkansas,5,AR,Arkansas,5107
170,54,2140,109 Pike,Arkansas,5,AR,Arkansas,5109
171,55,2486,111 Poinsett,Arkansas,5,AR,Arkansas,5111
172,56,2782,113 Polk,Arkansas,5,AR,Arkansas,5113
173,57,3523,115 Pope,Arkansas,5,AR,Arkansas,5115
174,58,1577,117 Prairie,Arkansas,5,AR,Arkansas,5117
175,59,11859,119 Pulaski,Arkansas,5,AR,Arkansas,5119
176,60,1670,121 Randolph,Arkansas,5,AR,Arkansas,5121
177,61,2524,123 St. Francis,Arkansas,5,AR,Arkansas,5123
178,62,3990,125 Saline,Arkansas,5,AR,Arkansas,5125
179,63,1344,127 Scott,Arkansas,5,AR,Arkansas,5127
180,64,1464,129 Searcy,Arkansas,5,AR,Arkansas,5129
181,65,4604,131 Sebastian,Arkansas,5,AR,Arkansas,5131
182,66,1507,133 Sevier,Arkansas,5,AR,Arkansas,5133
183,67,2688,135 Sharp,Arkansas,5,AR,Arkansas,5135
184,68,1180,137 Stone,Arkansas,5,AR,Arkansas,5137
185,69,3438,139 Union,Arkansas,5,AR,Arkansas,5139
186,70,2026,141 Van Buren,Arkansas,5,AR,Arkansas,5141
187,71,6843,143 Washington,Arkansas,5,AR,Arkansas,5143
188,72,3351,145 White,Arkansas,5,AR,Arkansas,5145
189,73,1149,147 Woodruff,Arkansas,5,AR,Arkansas,5147
190,74,2164,149 Yell,Arkansas,5,AR,Arkansas,5149
191,0,23956,001 Alameda,California,6,CA,California,6001
192,1,456,003 Alpine,California,6,CA,California,6003
193,2,1396,005 Amador,California,6,CA,California,6005
194,3,6517,007 Butte,California,6,CA,California,6007
195,4,2818,009 Calaveras,California,6,CA,California,6009
196,5,2204,011 Colusa,California,6,CA,California,6011
197,6,18309,013 Contra Costa,California,6,CA,California,6013
198,7,2062,015 Del Norte,California,6,CA,California,6015
199,8,5810,017 El Dorado,California,6,CA,California,6017
200,9,22096,019 Fresno,California,6,CA,California,6019
201,10,2783,021 Glenn,California,6,CA,California,6021
202,11,9697,023 Humboldt,California,6,CA,California,6023
203,12,8875,025 Imperial,California,6,CA,California,6025
204,13,5317,027 Inyo,California,6,CA,California,6027
205,14,35280,029 Kern,California,6,CA,California,6029
206,15,6188,031 Kings,California,6,CA,California,6031
207,16,5164,033 Lake,California,6,CA,California,6033
208,17,5639,035 Lassen,California,6,CA,California,6035
209,18,109582,037 Los Angeles,California,6,CA,California,6037
210,19,4989,039 Madera,California,6,CA,California,6039
211,20,4506,041 Marin,California,6,CA,California,6041
212,21,1919,043 Mariposa,California,6,CA,California,6043
213,22,8235,045 Mendocino,California,6,CA,California,6045
214,23,7181,047 Merced,California,6,CA,California,6047
215,24,5225,049 Modoc,California,6,CA,California,6049
216,25,3050,051 Mono,California,6,CA,California,6051
217,26,10601,053 Monterey,California,6,CA,California,6053
218,27,2771,055 Napa,California,6,CA,California,6055
219,28,4597,057 Nevada,California,6,CA,California,6057
220,29,36880,059 Orange,California,6,CA,California,6059
221,30,9170,061 Placer,California,6,CA,California,6061
222,31,4732,063 Plumas,California,6,CA,California,6063
223,32,35718,065 Riverside,California,6,CA,California,6065
224,33,19937,067 Sacramento,California,6,CA,California,6067
225,34,2650,069 San Benito,California,6,CA,California,6069
226,35,48176,071 San Bernardino,California,6,CA,California,6071
227,36,43415,073 San Diego,California,6,CA,California,6073
228,37,7386,075 San Francisco,California,6,CA,California,6075
229,38,13233,077 San Joaquin,California,6,CA,California,6077
230,39,11428,079 San Luis Obispo,California,6,CA,California,6079
231,40,9262,081 San Mateo,California,6,CA,California,6081
232,41,10370,083 Santa Barbara,California,6,CA,California,6083
233,42,22367,085 Santa Clara,California,6,CA,California,6085
234,43,5085,087 Santa Cruz,California,6,CA,California,6087
235,44,10564,089 Shasta,California,6,CA,California,6089
236,45,1940,091 Sierra,California,6,CA,California,6091
237,46,10157,093 Siskiyou,California,6,CA,California,6093
238,47,10282,095 Solano,California,6,CA,California,6095
239,48,10389,097 Sonoma,California,6,CA,California,6097
240,49,8551,099 Stanislaus,California,6,CA,California,6099
241,50,2736,101 Sutter,California,6,CA,California,6101
242,51,5435,103 Tehama,California,6,CA,California,6103
243,52,3121,105 Trinity,California,6,CA,California,6105
244,53,13796,107 Tulare,California,6,CA,California,6107
245,54,4753,109 Tuolumne,California,6,CA,California,6109
246,55,14854,111 Ventura,California,6,CA,California,6111
247,56,3601,113 Yolo,California,6,CA,California,6113
248,57,2934,115 Yuba,California,6,CA,California,6115
249,0,10351,001 Adams,Colorado,8,CO,Colorado,8001
250,1,1125,003 Alamosa,Colorado,8,CO,Colorado,8003
251,2,9118,005 Arapahoe,Colorado,8,CO,Colorado,8005
252,3,1183,007 Archuleta,Colorado,8,CO,Colorado,8007
253,4,1188,009 Baca,Colorado,8,CO,Colorado,8009
254,5,1138,011 Bent,Colorado,8,CO,Colorado,8011
