,statecode,tech,bc_hundred,bc_oneG,bc_ten,bc_twentyfive,blockcode,hundred_fifty,oneG,providername,ten,twentyfive_three,type
0,42,Cable,0,0,42017,41602,276763,0.0,0,27,42228.0,41810.0,business
1,42,Fiber,55143,0,56970,56723,167488,60638.0,0,59,63331.0,62954.0,business
2,42,Fixed Wireless,17,0,13850,11227,51934,17.0,0,23,14095.0,11449.0,business
3,42,Other,79,0,1044,955,5916,84.0,0,26,1149.0,1037.0,business
4,42,Satellite,0,0,406138,0,421086,0.0,0,4,406138.0,0.0,business
5,42,aDSL,0,0,10499,3580,245679,0.0,0,45,10762.0,3582.0,business
6,42,Cable,0,0,272901,268601,273019,0.0,0,24,371285.0,359527.0,consumer
7,42,Fiber,133083,0,135847,134740,135938,136922.0,0,28,140570.0,139405.0,consumer
8,42,Fixed Wireless,1,0,16139,4884,59011,1.0,0,22,16359.0,5094.0,consumer
9,42,Other,0,0,99,87,106,0.0,0,4,99.0,87.0,consumer
10,42,Satellite,0,0,421086,0,421545,0.0,0,3,811945.0,0.0,consumer
11,42,aDSL,0,0,50006,14755,258065,0.0,0,33,58352.0,14770.0,consumer
12,42,2G,0,0,0,0,412504,0.0,0,7,0.0,0.0,mobile
13,42,3G,0,0,0,0,414380,0.0,0,5,0.0,0.0,mobile
14,42,4G_LTE,0,0,414284,0,414285,0.0,0,6,1475348.0,0.0,mobile
15,42,4G_NON_LTE,0,0,411815,0,411816,0.0,0,4,664969.0,0.0,mobile
0,19,Cable,0,0,3632,3189,64064,0.0,0,57,4991.0,4458.0,business
1,19,Fiber,17573,0,29569,26798,54352,18366.0,0,156,31981.0,28901.0,business
2,19,Fixed Wireless,68216,0,110191,104287,128328,68216.0,0,74,127183.0,117346.0,business
3,19,Other,76,0,1178,841,1891,76.0,0,16,1205.0,863.0,business
4,19,Satellite,0,0,210934,0,215811,0.0,0,4,210934.0,0.0,business
5,19,aDSL,0,0,14078,7502,95306,0.0,0,125,19882.0,11333.0,business
6,19,Cable,0,0,62063,60919,65242,0.0,0,52,67506.0,65635.0,consumer
7,19,Fiber,10609,0,43238,37461,45559,10715.0,0,142,45445.0,39024.0,consumer
8,19,Fixed Wireless,14412,0,107477,94705,141007,14412.0,0,79,127341.0,104913.0,consumer
9,19,Other,0,0,67,66,70,0.0,0,4,67.0,66.0,consumer
10,19,Satellite,0,0,215811,0,216007,0.0,0,3,421766.0,0.0,consumer
