,statecode,bc_hundred,bc_ten,bc_twentyfive,blockcode,hundred_fifty,providername,ten,twentyfive_three,type
0,42,55161,408202,95500,421184,60739.0,123,537703.0,120832.0,business
1,42,133084,421173,279152,421545,136923.0,84,1398610.0,518883.0,consumer
2,42,0,417840,0,419121,0.0,8,2140317.0,0.0,mobile
0,19,77629,213427,119382,215927,86658.0,269,396176.0,162901.0,business
1,19,22859,215884,144601,216007,25127.0,250,731335.0,230592.0,consumer
2,19,0,215915,0,215978,0.0,14,956903.0,0.0,mobile
0,40,54460,257778,80974,268858,56461.0,105,374592.0,99313.0,business
1,40,4339,268351,99329,269118,4377.0,95,665726.0,133908.0,consumer
2,40,0,268265,0,268580,0.0,16,1504625.0,0.0,mobile
0,48,366246,891119,395696,912901,518822.0,251,1653013.0,584168.0,business
1,48,24113,911581,564595,914231,27562.0,208,3059205.0,1129575.0,consumer
2,48,0,910078,0,911032,0.0,17,4904156.0,0.0,mobile
0,36,48781,337804,59600,349736,55021.0,115,435243.0,72749.0,business
1,36,98591,349764,284908,350169,103897.0,81,1134214.0,405946.0,consumer
2,36,0,346011,0,347318,0.0,7,1730212.0,0.0,mobile
0,13,26038,273788,73916,291086,27641.0,141,363644.0,81638.0,business
1,13,15158,291086,155608,291086,15186.0,93,822710.0,219770.0,consumer
2,13,0,290849,0,290961,0.0,4,1465216.0,0.0,mobile
0,31,80988,190669,96801,192564,102161.0,111,396427.0,126910.0,business
1,31,20256,191495,100353,193352,23480.0,98,502196.0,154605.0,consumer
2,31,0,191519,0,192557,0.0,13,729230.0,0.0,mobile
0,5,8302,175846,18741,186211,8476.0,78,298742.0,21445.0,business
1,5,4713,186211,71031,186211,4722.0,67,551701.0,148158.0,consumer
2,5,0,184901,0,185180,0.0,6,837613.0,0.0,mobile
0,34,24451,161267,127992,169517,29184.0,65,317623.0,156470.0,business
1,34,74381,169515,139273,169588,74385.0,25,554815.0,222458.0,consumer
2,34,0,169577,0,169579,0.0,4,997816.0,0.0,mobile
0,35,38624,166426,46646,166945,39389.0,71,217652.0,48491.0,business
1,35,1871,166333,45325,166949,1871.0,53,263074.0,71555.0,consumer
2,35,0,159477,0,163159,0.0,10,699881.0,0.0,mobile
0,6,125626,695960,287515,705853,134428.0,164,1130269.0,360715.0,business
1,6,12201,705181,420885,710145,12333.0,125,2320970.0,754967.0,consumer
2,6,0,685852,0,691078,0.0,7,3747822.0,0.0,mobile
0,18,74021,261662,91117,267071,80184.0,137,405113.0,114980.0,business
1,18,7694,267071,156008,267071,7799.0,103,855105.0,234955.0,consumer
2,18,0,267040,0,267060,0.0,8,1433635.0,0.0,mobile
0,27,31372,248462,150905,258129,34166.0,169,457475.0,205243.0,business
1,27,27083,257212,176232,259777,27748.0,148,809827.0,287008.0,consumer
2,27,0,257516,0,257895,0.0,8,1240730.0,0.0,mobile
0,29,57190,326802,120817,343555,64741.0,154,496012.0,159520.0,business
1,29,36973,343550,167635,343565,37701.0,137,973862.0,243669.0,consumer
2,29,0,341974,0,342881,0.0,10,1800369.0,0.0,mobile
0,39,33386,354526,86686,364331,35901.0,156,484640.0,105808.0,business
1,39,11552,364120,260734,365344,11598.0,119,1125574.0,345784.0,consumer
2,39,0,364607,0,364876,0.0,5,1958327.0,0.0,mobile
0,17,206318,445545,216656,451554,221779.0,202,772043.0,246385.0,business
1,17,16977,451554,309542,451554,17104.0,161,1679339.0,519799.0,consumer
2,17,0,451517,0,451544,0.0,11,2469748.0,0.0,mobile
0,11,567,6436,5013,6439,840.0,41,13009.0,6342.0,business
1,11,2784,6337,4993,6338,2784.0,8,24591.0,10947.0,consumer
2,11,0,6507,0,6507,0.0,4,39042.0,0.0,mobile
0,26,46423,308697,65858,329624,51371.0,127,409077.0,86353.0,business
1,26,17561,329575,196301,329885,18298.0,95,1016265.0,309140.0,consumer
2,26,0,326965,0,327722,0.0,7,1676931.0,0.0,mobile
0,22,14827,190178,25832,204445,16103.0,69,229980.0,33873.0,business
1,22,4883,204445,94385,204447,4896.0,51,625531.0,129349.0,consumer
2,22,0,203953,0,204413,0.0,7,1099066.0,0.0,mobile
0,21,17876,147097,31037,161672,21044.0,96,190702.0,36772.0,business
1,21,16313,161672,91416,161672,19110.0,79,503064.0,114273.0,consumer
2,21,0,159610,0,160409,0.0,8,729905.0,0.0,mobile
0,30,4124,127447,24128,129974,4137.0,61,160051.0,27990.0,business
1,30,8731,128686,55100,129978,8839.0,48,236069.0,75048.0,consumer
2,30,0,117968,0,121375,0.0,10,295841.0,0.0,mobile
0,4,57595,239166,96502,240299,59127.0,88,418334.0,117838.0,business
1,4,6289,239631,84416,241666,6485.0,58,560604.0,129690.0,consumer
2,4,0,222572,0,238060,0.0,7,1004783.0,0.0,mobile
0,37,13002,275584,27023,288983,13630.0,113,318413.0,35246.0,business
1,37,18683,288983,226188,288987,19136.0,82,943727.0,294826.0,consumer
2,37,0,284623,0,285916,0.0,6,1561432.0,0.0,mobile
0,32,26277,83690,31115,83833,28185.0,61,124997.0,40700.0,business
1,32,6656,83807,39180,83834,7157.0,38,183461.0,73795.0,consumer
2,32,0,75314,0,80727,0.0,7,319973.0,0.0,mobile
0,9,20995,64794,22876,65937,21856.0,41,90366.0,25632.0,business
1,9,481,65790,55385,65842,481.0,14,252724.0,83167.0,consumer
2,9,0,67543,0,67549,0.0,4,377719.0,0.0,mobile
0,16,64023,146329,69906,146866,66503.0,77,290186.0,75932.0,business
1,16,11829,146437,74096,147012,11935.0,64,346438.0,111547.0,consumer
2,16,0,130330,0,133794,0.0,14,568007.0,0.0,mobile
0,8,111687,198553,126978,200188,167209.0,122,431658.0,207620.0,business
1,8,21352,199863,131639,201062,22226.0,92,716237.0,248483.0,consumer
2,8,0,192518,0,196787,0.0,14,940942.0,0.0,mobile
